Date,Traffic_Source,Device_Type,Country,Page_Visited,Sessions,Users,New_Users,Bounce_Rate,Avg_Session_Duration,Conversions,Revenue,Campaign_Name,Month
04/01/2024,Google Ads,Tablet,UK,Home Page,499,375,226,34.12,185,9,468,New Product Launch,Jan
04/01/2024,Facebook Ads,Mobile,Kenya,Promo Page,230,197,129,34.17,233,28,588,Email Campaign,Jan
04/01/2024,Instagram Ads,Tablet,Australia,Checkout Page,116,107,54,35.53,236,18,630,Winter Sale,Jan
04/01/2024,Organic Search,Desktop,USA,Landing Page,487,448,327,49.2,193,22,1188,Winter Sale,Jan
04/01/2024,Direct,Mobile,Australia,Home Page,428,345,186,41.11,252,18,990,Brand Awareness,Jan
04/01/2024,Email Marketing,Tablet,Canada,Checkout Page,356,279,156,48.09,284,19,988,None,Jan
04/01/2024,Referral,Tablet,UK,Blog Page,101,80,59,38.61,271,10,460,Brand Awareness,Jan
05/01/2024,Google Ads,Tablet,USA,Home Page,176,152,90,33.27,150,18,684,SEO Campaign,Jan
05/01/2024,Facebook Ads,Mobile,USA,Checkout Page,299,252,134,51.85,213,11,616,Email Campaign,Jan
05/01/2024,Instagram Ads,Mobile,Canada,Product Page,174,164,115,35.95,302,34,1428,Winter Sale,Jan
05/01/2024,Organic Search,Tablet,UK,Landing Page,302,277,201,29.9,203,34,1394,Spring Sale,Jan
05/01/2024,Direct,Desktop,India,Product Page,465,378,266,31.69,265,9,432,New Product Launch,Jan
05/01/2024,Email Marketing,Mobile,Kenya,Checkout Page,385,355,257,41.81,146,6,234,SEO Campaign,Jan
05/01/2024,Referral,Tablet,USA,Product Page,450,367,206,30.54,304,33,1353,None,Jan
06/01/2024,Google Ads,Tablet,Kenya,Landing Page,269,217,136,28.82,269,12,300,SEO Campaign,Jan
06/01/2024,Facebook Ads,Desktop,Germany,Promo Page,180,153,104,33.83,94,9,207,Brand Awareness,Jan
06/01/2024,Instagram Ads,Tablet,USA,Landing Page,126,112,55,31.58,203,30,1470,SEO Campaign,Jan
06/01/2024,Organic Search,Mobile,USA,Product Page,137,104,47,53.99,112,33,924,Spring Sale,Jan
06/01/2024,Direct,Mobile,India,Blog Page,80,67,34,30.53,178,10,200,Brand Awareness,Jan
06/01/2024,Email Marketing,Desktop,Australia,Blog Page,428,356,186,37.61,318,24,1152,None,Jan
06/01/2024,Referral,Tablet,Australia,Home Page,173,159,105,40.8,307,28,1120,Brand Awareness,Jan
07/01/2024,Google Ads,Desktop,UK,Landing Page,301,264,122,53.63,189,4,200,Spring Sale,Jan
07/01/2024,Facebook Ads,Mobile,Australia,Landing Page,175,161,104,32.4,113,18,378,SEO Campaign,Jan
07/01/2024,Instagram Ads,Tablet,USA,Home Page,231,204,126,31.47,278,21,1176,Spring Sale,Jan
07/01/2024,Organic Search,Tablet,USA,Product Page,122,96,45,30.72,219,31,1674,Email Campaign,Jan
07/01/2024,Direct,Mobile,Australia,Home Page,489,433,239,35.04,224,6,180,Email Campaign,Jan
07/01/2024,Email Marketing,Desktop,USA,Checkout Page,328,281,162,43.35,316,19,1026,Email Campaign,Jan
07/01/2024,Referral,Mobile,Kenya,Promo Page,347,290,195,48.37,194,32,1152,Winter Sale,Jan
08/01/2024,Google Ads,Mobile,India,Promo Page,421,340,163,29.44,278,11,418,Brand Awareness,Jan
08/01/2024,Facebook Ads,Mobile,Australia,Landing Page,302,283,176,45.06,206,7,378,Email Campaign,Jan
08/01/2024,Instagram Ads,Desktop,India,Product Page,132,119,81,30.46,131,28,1624,Email Campaign,Jan
08/01/2024,Organic Search,Desktop,Australia,Home Page,242,224,124,31.16,165,11,319,Email Campaign,Jan
08/01/2024,Direct,Mobile,Germany,Blog Page,309,236,155,29.96,267,29,609,Brand Awareness,Jan
08/01/2024,Email Marketing,Mobile,Germany,Promo Page,418,362,256,51.77,234,33,858,SEO Campaign,Jan
08/01/2024,Referral,Desktop,Canada,Checkout Page,149,132,78,38.21,256,29,841,New Product Launch,Jan
09/01/2024,Google Ads,Mobile,Canada,Blog Page,252,189,111,29.52,309,10,580,SEO Campaign,Jan
09/01/2024,Facebook Ads,Desktop,Australia,Blog Page,269,223,132,30.24,250,8,200,Email Campaign,Jan
09/01/2024,Instagram Ads,Tablet,Australia,Home Page,396,322,149,52.97,318,6,324,Spring Sale,Jan
09/01/2024,Organic Search,Tablet,USA,Landing Page,126,110,72,40.27,206,24,528,SEO Campaign,Jan
09/01/2024,Direct,Desktop,Australia,Promo Page,409,384,275,40.3,245,23,621,Spring Sale,Jan
09/01/2024,Email Marketing,Desktop,India,Home Page,215,176,110,30.1,130,6,276,Winter Sale,Jan
09/01/2024,Referral,Mobile,Kenya,Product Page,496,412,259,35.32,230,16,864,New Product Launch,Jan
10/01/2024,Google Ads,Tablet,USA,Checkout Page,335,290,210,30.23,119,20,480,Winter Sale,Jan
10/01/2024,Facebook Ads,Tablet,Canada,Home Page,225,213,105,44.04,152,27,1107,Email Campaign,Jan
10/01/2024,Instagram Ads,Mobile,Germany,Blog Page,496,418,240,35.38,144,8,376,Brand Awareness,Jan
10/01/2024,Organic Search,Mobile,Kenya,Home Page,338,291,198,53.51,291,21,756,Brand Awareness,Jan
10/01/2024,Direct,Desktop,Australia,Product Page,80,75,47,34.17,202,10,510,Spring Sale,Jan
10/01/2024,Email Marketing,Desktop,Kenya,Landing Page,241,203,141,36.31,282,24,576,Winter Sale,Jan
10/01/2024,Referral,Tablet,Canada,Checkout Page,480,372,170,48.39,174,16,336,SEO Campaign,Jan
11/01/2024,Google Ads,Mobile,Kenya,Home Page,305,250,156,38.59,180,21,1113,None,Jan
11/01/2024,Facebook Ads,Desktop,USA,Promo Page,109,95,67,53.64,221,12,432,SEO Campaign,Jan
11/01/2024,Instagram Ads,Tablet,India,Home Page,148,140,83,36.88,132,18,540,None,Jan
11/01/2024,Organic Search,Mobile,Canada,Landing Page,262,227,129,46.84,221,10,230,New Product Launch,Jan
11/01/2024,Direct,Desktop,Germany,Checkout Page,172,162,102,34.04,110,7,259,Email Campaign,Jan
11/01/2024,Email Marketing,Desktop,Germany,Landing Page,405,313,184,33.57,123,19,627,Winter Sale,Jan
11/01/2024,Referral,Desktop,Australia,Home Page,361,328,209,30.21,183,13,468,Winter Sale,Jan
12/01/2024,Google Ads,Tablet,Kenya,Product Page,434,341,174,38,303,16,720,Email Campaign,Jan
12/01/2024,Facebook Ads,Desktop,Kenya,Landing Page,233,176,92,47.26,200,25,925,New Product Launch,Jan
12/01/2024,Instagram Ads,Tablet,Kenya,Product Page,94,72,48,32.92,128,27,972,Brand Awareness,Jan
12/01/2024,Organic Search,Tablet,Australia,Checkout Page,379,301,166,40.8,227,5,185,Spring Sale,Jan
12/01/2024,Direct,Desktop,UK,Landing Page,190,170,98,31.44,258,7,175,New Product Launch,Jan
12/01/2024,Email Marketing,Tablet,Australia,Checkout Page,444,362,264,28.2,110,8,200,New Product Launch,Jan
12/01/2024,Referral,Mobile,Australia,Checkout Page,397,361,168,50.74,220,21,1050,Spring Sale,Jan
13/01/2024,Google Ads,Tablet,Kenya,Home Page,299,279,125,54.33,183,26,1482,Spring Sale,Jan
13/01/2024,Facebook Ads,Desktop,Australia,Landing Page,414,354,209,50.64,222,8,360,SEO Campaign,Jan
13/01/2024,Instagram Ads,Mobile,Kenya,Landing Page,304,272,165,47.1,231,34,1938,None,Jan
13/01/2024,Organic Search,Desktop,Australia,Product Page,435,354,222,37.97,99,7,294,Email Campaign,Jan
13/01/2024,Direct,Tablet,Kenya,Landing Page,247,225,118,46.4,106,11,330,Brand Awareness,Jan
13/01/2024,Email Marketing,Mobile,UK,Promo Page,174,162,113,54.06,167,23,690,New Product Launch,Jan
13/01/2024,Referral,Mobile,Germany,Checkout Page,114,106,70,29.3,182,10,300,SEO Campaign,Jan
14/01/2024,Google Ads,Mobile,Germany,Product Page,365,333,168,34.36,167,28,644,Winter Sale,Jan
14/01/2024,Facebook Ads,Mobile,India,Home Page,481,439,255,38.18,268,31,1767,Winter Sale,Jan
14/01/2024,Instagram Ads,Tablet,Kenya,Checkout Page,224,208,117,42.68,193,10,580,New Product Launch,Jan
14/01/2024,Organic Search,Desktop,India,Landing Page,470,421,277,32.5,200,31,1612,SEO Campaign,Jan
14/01/2024,Direct,Desktop,UK,Product Page,236,184,100,34.71,272,3,69,Email Campaign,Jan
14/01/2024,Email Marketing,Tablet,Germany,Blog Page,202,181,87,42.48,136,6,258,Email Campaign,Jan
14/01/2024,Referral,Desktop,Canada,Landing Page,126,104,70,28.33,204,21,1155,Email Campaign,Jan
15/01/2024,Google Ads,Desktop,Canada,Promo Page,227,178,128,43.75,289,25,1125,Spring Sale,Jan
15/01/2024,Facebook Ads,Mobile,Germany,Product Page,220,171,82,34.91,193,30,930,Winter Sale,Jan
15/01/2024,Instagram Ads,Tablet,India,Home Page,171,141,66,30.09,295,10,410,Brand Awareness,Jan
15/01/2024,Organic Search,Tablet,Germany,Home Page,180,170,119,31.37,146,3,177,Email Campaign,Jan
15/01/2024,Direct,Desktop,Canada,Checkout Page,216,170,116,44.3,124,33,1452,Spring Sale,Jan
15/01/2024,Email Marketing,Mobile,India,Promo Page,470,385,258,40.21,260,29,1247,Brand Awareness,Jan
15/01/2024,Referral,Mobile,India,Home Page,423,343,234,35.49,243,30,1200,SEO Campaign,Jan
16/01/2024,Google Ads,Mobile,Germany,Checkout Page,440,343,197,30.3,278,10,260,None,Jan
16/01/2024,Facebook Ads,Desktop,Canada,Product Page,458,416,230,40.64,138,15,720,Winter Sale,Jan
16/01/2024,Instagram Ads,Desktop,Canada,Promo Page,157,140,85,42.43,202,20,980,Winter Sale,Jan
16/01/2024,Organic Search,Mobile,India,Promo Page,343,316,231,38.08,291,21,1113,Spring Sale,Jan
16/01/2024,Direct,Desktop,USA,Blog Page,470,414,189,33.99,305,25,675,New Product Launch,Jan
16/01/2024,Email Marketing,Desktop,Canada,Promo Page,130,114,59,30.68,185,26,858,SEO Campaign,Jan
16/01/2024,Referral,Tablet,USA,Blog Page,244,189,108,36.75,299,9,261,New Product Launch,Jan
17/01/2024,Google Ads,Tablet,UK,Product Page,191,150,93,39.38,91,3,72,New Product Launch,Jan
17/01/2024,Facebook Ads,Mobile,Australia,Landing Page,198,159,101,39.05,311,11,583,SEO Campaign,Jan
17/01/2024,Instagram Ads,Mobile,UK,Landing Page,421,381,184,43.28,148,16,672,Winter Sale,Jan
17/01/2024,Organic Search,Tablet,Kenya,Promo Page,93,83,54,38.87,290,24,984,Spring Sale,Jan
17/01/2024,Direct,Desktop,Australia,Home Page,108,84,44,28.5,235,34,1360,Brand Awareness,Jan
17/01/2024,Email Marketing,Mobile,Canada,Home Page,113,97,62,50.4,176,23,943,None,Jan
17/01/2024,Referral,Mobile,USA,Product Page,213,190,99,45.09,142,9,261,Email Campaign,Jan
18/01/2024,Google Ads,Tablet,UK,Blog Page,269,229,106,32.49,196,3,165,Email Campaign,Jan
18/01/2024,Facebook Ads,Desktop,UK,Checkout Page,346,279,155,47.41,128,10,540,Brand Awareness,Jan
18/01/2024,Instagram Ads,Desktop,Canada,Blog Page,148,125,66,42.58,300,5,180,New Product Launch,Jan
18/01/2024,Organic Search,Mobile,Canada,Product Page,280,253,121,30.03,106,3,132,Winter Sale,Jan
18/01/2024,Direct,Desktop,Australia,Landing Page,118,90,42,28.06,268,32,1824,Email Campaign,Jan
18/01/2024,Email Marketing,Desktop,Canada,Blog Page,123,112,82,49.33,146,25,775,Winter Sale,Jan
18/01/2024,Referral,Tablet,Canada,Product Page,294,263,168,54.48,299,27,837,Winter Sale,Jan
19/01/2024,Google Ads,Mobile,Kenya,Product Page,444,392,181,43.88,234,25,1125,None,Jan
19/01/2024,Facebook Ads,Mobile,UK,Checkout Page,349,270,180,33.2,161,20,840,SEO Campaign,Jan
19/01/2024,Instagram Ads,Tablet,Germany,Landing Page,481,411,264,45.55,241,5,265,Spring Sale,Jan
19/01/2024,Organic Search,Mobile,Germany,Product Page,262,217,134,49.71,93,31,1271,Winter Sale,Jan
19/01/2024,Direct,Desktop,Canada,Blog Page,95,79,56,39.27,316,12,636,Email Campaign,Jan
19/01/2024,Email Marketing,Desktop,Germany,Promo Page,353,331,228,54.94,118,32,1536,Winter Sale,Jan
19/01/2024,Referral,Mobile,USA,Checkout Page,351,324,241,48.74,242,33,1914,Winter Sale,Jan
20/01/2024,Google Ads,Mobile,USA,Blog Page,82,69,37,51.03,235,32,1792,Brand Awareness,Jan
20/01/2024,Facebook Ads,Mobile,Germany,Landing Page,152,117,66,31.36,276,28,1568,SEO Campaign,Jan
20/01/2024,Instagram Ads,Mobile,India,Promo Page,277,262,187,44.22,151,15,795,SEO Campaign,Jan
20/01/2024,Organic Search,Mobile,UK,Home Page,138,114,79,34.23,199,12,636,Winter Sale,Jan
20/01/2024,Direct,Tablet,Australia,Product Page,338,309,213,45,304,19,532,Winter Sale,Jan
20/01/2024,Email Marketing,Tablet,Kenya,Blog Page,140,112,67,41.26,234,26,572,Email Campaign,Jan
20/01/2024,Referral,Tablet,Australia,Blog Page,168,145,90,30.47,194,26,572,Winter Sale,Jan
21/01/2024,Google Ads,Tablet,Canada,Product Page,274,257,182,49.86,129,27,648,SEO Campaign,Jan
21/01/2024,Facebook Ads,Mobile,Germany,Home Page,117,93,62,41.39,287,7,224,Spring Sale,Jan
21/01/2024,Instagram Ads,Desktop,Canada,Blog Page,119,110,66,52.48,156,26,1534,Email Campaign,Jan
21/01/2024,Organic Search,Tablet,Germany,Home Page,368,340,234,45.78,186,29,928,Email Campaign,Jan
21/01/2024,Direct,Tablet,UK,Product Page,249,192,126,33.11,222,13,650,New Product Launch,Jan
21/01/2024,Email Marketing,Tablet,UK,Blog Page,237,220,99,43.02,166,31,961,Brand Awareness,Jan
21/01/2024,Referral,Mobile,Canada,Checkout Page,234,221,141,35.01,277,34,1462,New Product Launch,Jan
22/01/2024,Google Ads,Desktop,Germany,Blog Page,493,371,215,50.68,245,30,1020,Brand Awareness,Jan
22/01/2024,Facebook Ads,Desktop,USA,Product Page,275,215,146,53.58,281,19,589,Brand Awareness,Jan
22/01/2024,Instagram Ads,Tablet,Canada,Promo Page,272,207,97,51.02,103,34,1632,Email Campaign,Jan
22/01/2024,Organic Search,Desktop,India,Product Page,86,65,45,38.04,249,21,630,Spring Sale,Jan
22/01/2024,Direct,Mobile,Canada,Promo Page,305,289,166,40.19,128,17,816,Spring Sale,Jan
22/01/2024,Email Marketing,Mobile,Germany,Blog Page,254,225,145,35.38,170,32,1504,New Product Launch,Jan
22/01/2024,Referral,Tablet,UK,Blog Page,163,135,71,54.57,90,28,1596,New Product Launch,Jan
23/01/2024,Google Ads,Desktop,USA,Home Page,399,368,244,43.19,297,29,783,Email Campaign,Jan
23/01/2024,Facebook Ads,Mobile,Australia,Product Page,388,302,177,42.32,288,5,240,New Product Launch,Jan
23/01/2024,Instagram Ads,Mobile,Kenya,Home Page,483,439,260,31.17,106,32,1248,SEO Campaign,Jan
23/01/2024,Organic Search,Mobile,Germany,Product Page,398,350,191,43.94,161,13,416,Brand Awareness,Jan
23/01/2024,Direct,Mobile,Australia,Checkout Page,399,330,244,47.49,100,15,660,Winter Sale,Jan
23/01/2024,Email Marketing,Tablet,Kenya,Checkout Page,471,421,284,31.94,165,27,1377,SEO Campaign,Jan
23/01/2024,Referral,Mobile,USA,Blog Page,227,185,126,53.41,186,4,208,Brand Awareness,Jan
24/01/2024,Google Ads,Desktop,UK,Product Page,496,453,252,36.7,255,9,405,None,Jan
24/01/2024,Facebook Ads,Mobile,Kenya,Home Page,185,144,69,45.18,284,29,725,None,Jan
24/01/2024,Instagram Ads,Desktop,India,Landing Page,302,259,171,51.52,267,30,1170,None,Jan
24/01/2024,Organic Search,Tablet,USA,Promo Page,86,75,46,44.13,111,28,616,Spring Sale,Jan
24/01/2024,Direct,Tablet,Kenya,Promo Page,93,71,33,34.67,230,27,1026,Email Campaign,Jan
24/01/2024,Email Marketing,Desktop,Canada,Checkout Page,471,435,252,29.18,133,20,500,Email Campaign,Jan
24/01/2024,Referral,Desktop,India,Home Page,431,370,221,30.2,124,31,1488,None,Jan
25/01/2024,Google Ads,Desktop,Australia,Promo Page,411,322,237,39.23,113,22,1232,Spring Sale,Jan
25/01/2024,Facebook Ads,Desktop,India,Product Page,256,218,136,28.79,187,34,1870,SEO Campaign,Jan
25/01/2024,Instagram Ads,Mobile,UK,Blog Page,341,300,224,35.66,214,14,308,None,Jan
25/01/2024,Organic Search,Desktop,UK,Blog Page,304,235,156,52.54,176,12,396,Email Campaign,Jan
25/01/2024,Direct,Tablet,Kenya,Home Page,120,95,67,40.02,306,22,462,New Product Launch,Jan
25/01/2024,Email Marketing,Mobile,India,Landing Page,424,400,210,45.73,282,10,310,Spring Sale,Jan
25/01/2024,Referral,Mobile,Australia,Landing Page,274,229,125,40.12,165,32,640,SEO Campaign,Jan
26/01/2024,Google Ads,Mobile,USA,Home Page,80,64,35,38.24,196,7,392,SEO Campaign,Jan
26/01/2024,Facebook Ads,Desktop,USA,Blog Page,391,339,240,33.56,278,22,726,SEO Campaign,Jan
26/01/2024,Instagram Ads,Mobile,Canada,Checkout Page,361,273,132,40.21,148,7,364,SEO Campaign,Jan
26/01/2024,Organic Search,Mobile,India,Landing Page,355,336,248,28.13,315,27,1296,Spring Sale,Jan
26/01/2024,Direct,Desktop,UK,Promo Page,486,429,211,28.81,134,22,770,None,Jan
26/01/2024,Email Marketing,Tablet,Kenya,Product Page,87,82,39,46.16,185,8,192,Winter Sale,Jan
26/01/2024,Referral,Tablet,USA,Promo Page,390,368,206,28.47,299,19,855,New Product Launch,Jan
27/01/2024,Google Ads,Mobile,Germany,Home Page,407,370,268,44.22,120,18,594,Spring Sale,Jan
27/01/2024,Facebook Ads,Mobile,USA,Blog Page,299,233,147,36.59,250,11,484,Email Campaign,Jan
27/01/2024,Instagram Ads,Desktop,UK,Product Page,238,213,151,38.91,221,8,304,Email Campaign,Jan
27/01/2024,Organic Search,Mobile,India,Home Page,358,299,207,31.25,143,9,396,SEO Campaign,Jan
27/01/2024,Direct,Mobile,Canada,Promo Page,278,239,134,42.81,250,19,969,Brand Awareness,Jan
27/01/2024,Email Marketing,Mobile,UK,Product Page,346,301,195,44.73,263,11,242,Brand Awareness,Jan
27/01/2024,Referral,Tablet,Australia,Promo Page,491,370,204,38.27,315,18,1008,None,Jan
28/01/2024,Google Ads,Tablet,Canada,Blog Page,122,110,76,47.39,212,13,520,SEO Campaign,Jan
28/01/2024,Facebook Ads,Tablet,UK,Checkout Page,478,381,277,29.63,110,15,615,Email Campaign,Jan
28/01/2024,Instagram Ads,Desktop,Australia,Checkout Page,452,364,197,49.68,124,10,350,Spring Sale,Jan
28/01/2024,Organic Search,Desktop,India,Blog Page,81,65,37,31.29,292,9,450,None,Jan
28/01/2024,Direct,Desktop,India,Checkout Page,150,121,83,33,273,6,234,Winter Sale,Jan
28/01/2024,Email Marketing,Desktop,Australia,Home Page,251,190,121,53.69,208,24,960,Spring Sale,Jan
28/01/2024,Referral,Mobile,UK,Landing Page,88,77,38,37.74,259,10,430,Email Campaign,Jan
29/01/2024,Google Ads,Tablet,Australia,Product Page,147,118,82,39.44,291,27,999,Winter Sale,Jan
29/01/2024,Facebook Ads,Mobile,Kenya,Blog Page,321,250,130,51.47,250,25,1000,None,Jan
29/01/2024,Instagram Ads,Desktop,Canada,Blog Page,498,433,265,34.26,167,15,660,Spring Sale,Jan
29/01/2024,Organic Search,Desktop,Canada,Promo Page,402,337,196,47.56,292,9,387,Spring Sale,Jan
29/01/2024,Direct,Tablet,USA,Home Page,181,156,83,30.14,318,3,165,New Product Launch,Jan
29/01/2024,Email Marketing,Tablet,Germany,Checkout Page,149,122,57,42.01,219,30,720,Spring Sale,Jan
29/01/2024,Referral,Desktop,Kenya,Home Page,146,125,68,36.99,159,4,168,New Product Launch,Jan
30/01/2024,Google Ads,Mobile,Germany,Home Page,433,363,199,43.67,275,6,144,None,Jan
30/01/2024,Facebook Ads,Tablet,Kenya,Blog Page,287,238,137,50.19,101,19,665,None,Jan
30/01/2024,Instagram Ads,Mobile,Australia,Checkout Page,427,403,183,47.9,197,3,147,Brand Awareness,Jan
30/01/2024,Organic Search,Mobile,India,Product Page,310,286,180,41.68,315,31,1023,Email Campaign,Jan
30/01/2024,Direct,Desktop,India,Product Page,145,119,65,34.45,282,13,286,SEO Campaign,Jan
30/01/2024,Email Marketing,Tablet,USA,Product Page,390,305,209,43.51,149,7,217,Brand Awareness,Jan
30/01/2024,Referral,Tablet,Australia,Checkout Page,161,140,91,42.38,295,8,176,Winter Sale,Jan
31/01/2024,Google Ads,Desktop,UK,Home Page,478,397,199,46.76,299,16,624,Spring Sale,Jan
31/01/2024,Facebook Ads,Desktop,Kenya,Blog Page,360,304,165,44.37,154,16,560,SEO Campaign,Jan
31/01/2024,Instagram Ads,Desktop,Australia,Home Page,466,438,305,45.99,315,10,400,None,Jan
31/01/2024,Organic Search,Desktop,Australia,Product Page,147,112,76,31.29,181,15,750,Email Campaign,Jan
31/01/2024,Direct,Tablet,India,Landing Page,395,363,163,28.48,219,30,1260,Email Campaign,Jan
31/01/2024,Email Marketing,Mobile,India,Landing Page,497,418,195,54.86,248,26,884,Winter Sale,Jan
31/01/2024,Referral,Mobile,Australia,Promo Page,178,136,93,35.17,96,18,630,None,Jan
01/02/2024,Google Ads,Tablet,UK,Blog Page,119,108,68,36.27,141,6,342,SEO Campaign,Feb
01/02/2024,Facebook Ads,Tablet,Germany,Blog Page,270,226,114,37.93,181,24,792,Brand Awareness,Feb
01/02/2024,Instagram Ads,Desktop,India,Product Page,212,159,91,41,319,17,680,None,Feb
01/02/2024,Organic Search,Mobile,Germany,Promo Page,468,371,168,34.51,302,23,851,Winter Sale,Feb
01/02/2024,Direct,Desktop,Australia,Promo Page,267,234,140,35.18,206,28,644,Spring Sale,Feb
01/02/2024,Email Marketing,Mobile,USA,Home Page,311,283,179,51.21,131,23,736,Winter Sale,Feb
01/02/2024,Referral,Mobile,Australia,Landing Page,208,189,89,35.54,147,34,2006,None,Feb
02/02/2024,Google Ads,Mobile,Canada,Blog Page,369,305,178,34.13,234,30,1260,SEO Campaign,Feb
02/02/2024,Facebook Ads,Tablet,USA,Blog Page,166,147,67,30.29,132,3,129,SEO Campaign,Feb
02/02/2024,Instagram Ads,Tablet,Canada,Promo Page,356,294,173,54.77,269,17,646,New Product Launch,Feb
02/02/2024,Organic Search,Mobile,India,Home Page,340,292,204,29.86,227,8,408,Winter Sale,Feb
02/02/2024,Direct,Mobile,Australia,Promo Page,128,102,53,29.87,306,28,812,New Product Launch,Feb
02/02/2024,Email Marketing,Tablet,UK,Home Page,337,293,183,48.2,121,34,1802,Spring Sale,Feb
02/02/2024,Referral,Desktop,Australia,Blog Page,262,201,113,42.85,306,20,820,SEO Campaign,Feb
03/02/2024,Google Ads,Tablet,India,Home Page,367,311,141,54.8,211,34,1666,SEO Campaign,Feb
03/02/2024,Facebook Ads,Desktop,India,Promo Page,312,267,171,33.97,215,10,590,New Product Launch,Feb
03/02/2024,Instagram Ads,Desktop,Germany,Blog Page,335,287,213,53.31,118,15,555,None,Feb
03/02/2024,Organic Search,Tablet,Germany,Blog Page,362,341,203,32.07,133,15,615,Winter Sale,Feb
03/02/2024,Direct,Mobile,India,Product Page,263,229,110,32.09,119,9,396,Spring Sale,Feb
03/02/2024,Email Marketing,Desktop,UK,Landing Page,223,203,136,51.8,221,10,540,Winter Sale,Feb
03/02/2024,Referral,Mobile,Australia,Promo Page,89,79,54,44.6,155,11,352,Brand Awareness,Feb
04/02/2024,Google Ads,Mobile,USA,Promo Page,313,282,129,48.13,103,27,1431,New Product Launch,Feb
04/02/2024,Facebook Ads,Tablet,Germany,Promo Page,479,373,202,51.67,190,28,644,SEO Campaign,Feb
04/02/2024,Instagram Ads,Tablet,Germany,Product Page,473,438,275,38.57,302,24,1416,Brand Awareness,Feb
04/02/2024,Organic Search,Desktop,Canada,Blog Page,339,266,150,38.86,160,6,288,Spring Sale,Feb
04/02/2024,Direct,Tablet,Australia,Promo Page,134,119,55,41.14,247,20,760,New Product Launch,Feb
04/02/2024,Email Marketing,Mobile,India,Promo Page,384,336,166,46.78,165,32,1824,New Product Launch,Feb
04/02/2024,Referral,Tablet,India,Landing Page,252,196,107,39.72,235,33,1551,Winter Sale,Feb
05/02/2024,Google Ads,Desktop,India,Checkout Page,197,173,99,45.18,136,29,986,SEO Campaign,Feb
05/02/2024,Facebook Ads,Mobile,Canada,Home Page,154,138,101,33.48,150,12,264,Brand Awareness,Feb
05/02/2024,Instagram Ads,Desktop,Canada,Checkout Page,333,288,189,53.1,140,23,874,Spring Sale,Feb
05/02/2024,Organic Search,Desktop,UK,Promo Page,148,135,68,49.67,163,34,816,Brand Awareness,Feb
05/02/2024,Direct,Mobile,Australia,Blog Page,310,288,208,49.07,189,8,400,Brand Awareness,Feb
05/02/2024,Email Marketing,Desktop,UK,Checkout Page,487,370,197,35.07,252,25,1175,None,Feb
05/02/2024,Referral,Desktop,UK,Landing Page,185,170,90,32.22,317,26,1014,Winter Sale,Feb
06/02/2024,Google Ads,Tablet,Australia,Blog Page,100,85,48,37.38,216,17,629,Spring Sale,Feb
06/02/2024,Facebook Ads,Mobile,Canada,Product Page,233,194,102,47.73,147,23,851,Email Campaign,Feb
